name,company,industry
Douglas McMillon,Walmart,General Merchandisers
Andrew Jassy,Amazon,Internet Services and Retailing
Andrew Witty,UnitedHealth Group,Health Care: Insurance and Managed Care
Timothy Cook,Apple,Computers, Office Equipment
David Joyner,CVS Health,Health Care: Pharmacy and Other Services
Warren Buffett,Berkshire Hathaway,Insurance: Property and Casualty (Stock)
Sundar Pichai,Alphabet,Internet Services and Retailing
Darren Woods,Exxon Mobil,Petroleum Refining
Brian Tyler,McKesson,Wholesalers: Health Care
Robert Mauch,Cencora,Wholesalers: Health Care
James Dimon,JPMorgan Chase,Commercial Banks
Ron Vachris,Costco Wholesale,General Merchandisers
David Cordani,Cigna Group,Health Care: Pharmacy and Other Services
Satya Nadella,Microsoft,Computer Software
Jason Hollar,Cardinal Health,Wholesalers: Health Care
Michael Wirth,Chevron,Petroleum Refining
Brian Moynihan,Bank of America,Commercial Banks
Mary Barra,General Motors,Motor Vehicles & Parts
James Farley Jr.,Ford Motor,Motor Vehicles & Parts
Gail Boudreaux,Elevance Health,Health Care: Insurance and Managed Care
Jane Fraser,Citigroup,Commercial Banks
Mark Zuckerberg,Meta Platforms,Internet Services and Retailing
Sarah London,Centene,Health Care: Insurance and Managed Care
Edward Decker,Home Depot,Specialty Retailers: Other
Priscilla Almodovar,Fannie Mae,Diversified Financials
Timothy Wentworth,Walgreens Boots Alliance,Food & Drug Stores
Ronald Sargent,Kroger,Food & Drug Stores
Mark Lashier,Phillips 66,Petroleum Refining
Maryann Mannen,Marathon Petroleum,Petroleum Refining
Hans Vestberg,Verizon,Telecommunications
Jensen Huang,Nvidia,Semiconductors and Other Electronic Components
David Solomon,Goldman Sachs Group,Commercial Banks
Charles Scharf,Wells Fargo,Commercial Banks
Lane Riggs,Valero Energy,Petroleum Refining
Brian Roberts,Comcast,Telecommunications
Jon Farney,State Farm Insurance,Insurance: Property and Casualty (Mutual)
John Stankey,AT&T,Telecommunications
Michael Hutchins,Freddie Mac,Diversified Financials
James Rechtin,Humana,Health Care: Insurance and Managed Care
Edward Pick,Morgan Stanley,Commercial Banks
